age_inscription,note_admission,note_qualification_precedente,unites_validees_s1,moyenne_s1,unites_validees_s2,moyenne_s2,taux_chomage,taux_inflation,pib,sexe,boursier,frais_a_jour,debiteur,deplace,international,decrochage
34,131.4,130.0,5,12.4,5,13.428571428571429,13.9,-0.3,0.79,HOMME,NON,OUI,NON,NON,NON,0
37,102.5,130.0,0,0.0,1,10.0,8.9,1.4,3.51,HOMME,NON,NON,OUI,NON,NON,1
43,128.8,133.1,0,0.0,0,0.0,7.6,2.6,0.32,HOMME,NON,OUI,NON,OUI,NON,1
55,122.9,140.0,1,10.0,2,12.0,16.2,0.3,-0.92,FEMME,NON,OUI,NON,NON,NON,1
39,113.9,120.0,5,11.0,5,11.6,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
20,120.0,120.0,3,11.666666666666666,3,12.0,12.4,0.5,1.79,FEMME,NON,NON,OUI,NON,OUI,1
18,121.1,126.0,4,12.75,0,0.0,12.7,3.7,-1.7,FEMME,NON,OUI,OUI,NON,NON,1
22,120.4,133.0,5,14.8,5,15.8,8.9,1.4,3.51,FEMME,NON,OUI,NON,OUI,NON,0
22,100.6,103.0,5,13.928,7,14.342857142857142,11.1,0.6,2.02,FEMME,NON,OUI,NON,OUI,NON,0
20,121.4,120.0,4,13.0,5,13.8,12.4,0.5,1.79,FEMME,NON,NON,NON,NON,NON,1
29,109.7,133.1,0,0.0,0,0.0,16.2,0.3,-0.92,FEMME,NON,OUI,NON,NON,NON,1
24,134.1,154.0,2,11.5,3,14.333333333333334,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,0
18,127.6,130.0,6,11.666666666666666,5,13.2,11.1,0.6,2.02,FEMME,NON,OUI,NON,OUI,NON,0
22,132.4,132.0,6,13.516666666666666,7,13.771428571428572,11.1,0.6,2.02,FEMME,OUI,OUI,NON,OUI,NON,0
21,133.4,130.0,6,11.5,6,13.285714285714286,12.4,0.5,1.79,FEMME,OUI,OUI,NON,NON,NON,0
19,126.1,139.0,5,12.333333333333334,6,12.833333333333334,12.7,3.7,-1.7,FEMME,OUI,OUI,NON,NON,NON,0
24,113.5,130.0,6,13.666666666666666,6,14.166666666666666,12.4,0.5,1.79,FEMME,OUI,OUI,NON,NON,NON,0
19,121.3,139.0,6,11.833333333333334,6,11.833333333333334,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,OUI,NON,0
20,121.8,127.0,4,14.0,3,11.0,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,OUI,NON,0
19,159.3,167.0,5,14.714285714285714,5,15.8,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,0
27,120.0,130.0,5,10.6,5,11.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,NON,NON,1
18,129.1,130.0,7,13.044444444444444,8,13.595,15.5,2.8,-4.06,FEMME,NON,OUI,NON,OUI,NON,0
39,130.0,130.0,0,0.0,0,0.0,12.4,0.5,1.79,FEMME,NON,OUI,NON,NON,NON,1
27,155.3,129.0,5,13.0,10,12.9,12.4,0.5,1.79,FEMME,NON,OUI,NON,OUI,NON,1
18,139.8,141.0,8,14.935,8,14.935,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
18,115.2,125.0,0,0.0,0,0.0,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
18,114.9,125.0,6,13.133333333333333,7,12.221428571428572,16.2,0.3,-0.92,FEMME,NON,OUI,NON,NON,NON,0
21,131.9,130.0,6,12.0,6,12.0,13.9,-0.3,0.79,FEMME,OUI,OUI,NON,NON,NON,0
19,126.0,133.0,0,0.0,0,0.0,10.8,1.4,1.74,HOMME,OUI,OUI,NON,OUI,NON,0
19,130.2,127.0,5,11.4,1,10.0,10.8,1.4,1.74,HOMME,NON,OUI,NON,OUI,NON,0
24,120.9,116.0,0,0.0,0,0.0,12.7,3.7,-1.7,HOMME,NON,OUI,NON,NON,NON,0
29,126.0,133.1,5,11.9,5,11.0,13.9,-0.3,0.79,HOMME,NON,OUI,NON,OUI,NON,1
19,128.2,139.0,0,0.0,0,0.0,10.8,1.4,1.74,HOMME,OUI,OUI,NON,OUI,NON,0
23,130.0,130.0,6,12.571428571428571,6,12.428571428571429,8.9,1.4,3.51,HOMME,NON,OUI,NON,OUI,NON,0
19,120.1,125.0,5,11.2,4,10.75,16.2,0.3,-0.92,HOMME,NON,OUI,OUI,NON,NON,1
26,100.0,160.0,6,12.0,5,10.8,12.7,3.7,-1.7,HOMME,NON,OUI,NON,NON,NON,0
18,134.0,148.0,0,0.0,0,0.0,7.6,2.6,0.32,HOMME,NON,OUI,NON,NON,NON,0
24,130.8,150.0,7,11.975,8,13.75,13.9,-0.3,0.79,HOMME,NON,OUI,NON,NON,NON,0
19,135.8,141.0,0,0.0,0,0.0,15.5,2.8,-4.06,HOMME,NON,OUI,NON,OUI,NON,1
18,111.7,118.0,3,11.666666666666666,1,12.0,12.4,0.5,1.79,HOMME,NON,OUI,NON,OUI,NON,1
18,132.9,142.0,6,12.333333333333334,3,12.333333333333334,10.8,1.4,1.74,HOMME,NON,OUI,NON,OUI,NON,0
18,115.5,120.0,3,10.333333333333334,3,10.857142857142858,10.8,1.4,1.74,HOMME,NON,OUI,OUI,OUI,NON,1
21,106.0,106.0,4,10.5,1,11.0,9.4,-0.8,-3.12,HOMME,OUI,OUI,NON,OUI,NON,1
19,120.3,121.0,6,13.666666666666666,6,13.333333333333334,8.9,1.4,3.51,HOMME,OUI,OUI,OUI,OUI,NON,0
22,130.8,150.0,7,14.842857142857142,8,15.055555555555555,16.2,0.3,-0.92,HOMME,OUI,OUI,NON,NON,NON,0
33,117.0,120.0,6,12.0,6,11.666666666666666,10.8,1.4,1.74,HOMME,NON,OUI,NON,NON,NON,0
20,110.2,114.0,5,12.2,5,12.2,10.8,1.4,1.74,HOMME,NON,OUI,NON,OUI,NON,1
35,155.7,140.0,0,0.0,0,0.0,10.8,1.4,1.74,HOMME,NON,OUI,NON,OUI,NON,1
24,180.4,160.0,6,12.166666666666666,10,13.3,12.4,0.5,1.79,HOMME,NON,OUI,OUI,NON,NON,1
18,125.5,120.0,5,12.0,3,11.333333333333334,12.7,3.7,-1.7,HOMME,NON,OUI,NON,NON,NON,0
33,110.0,130.0,6,11.0,5,11.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
22,161.0,160.0,7,13.08,7,13.08,10.8,1.4,1.74,FEMME,OUI,OUI,NON,OUI,NON,0
25,100.0,120.0,4,10.5,5,11.6,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,NON,NON,0
20,117.6,124.0,6,10.666666666666666,5,11.2,7.6,2.6,0.32,HOMME,NON,OUI,NON,OUI,NON,0
23,128.7,143.0,4,14.0,5,13.8,11.1,0.6,2.02,HOMME,NON,OUI,NON,OUI,NON,0
18,112.2,115.0,2,10.0,0,0.0,15.5,2.8,-4.06,HOMME,NON,OUI,OUI,OUI,NON,0
24,100.8,133.1,0,0.0,0,0.0,13.9,-0.3,0.79,HOMME,NON,OUI,NON,NON,NON,1
21,105.0,133.1,6,14.0,6,13.5,8.9,1.4,3.51,FEMME,NON,NON,NON,OUI,OUI,0
26,100.0,133.1,2,12.0,0,0.0,8.9,1.4,3.51,FEMME,NON,OUI,NON,NON,OUI,1
39,115.5,133.1,3,12.666666666666666,0,0.0,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,1
44,114.0,133.1,8,11.875,6,12.333333333333334,12.7,3.7,-1.7,FEMME,NON,OUI,NON,NON,NON,0
19,137.0,130.0,5,14.0,3,13.25,13.9,-0.3,0.79,HOMME,NON,OUI,NON,OUI,OUI,0
18,124.9,135.0,6,13.666666666666666,6,13.333333333333334,8.9,1.4,3.51,FEMME,NON,OUI,NON,OUI,NON,0
18,120.3,132.0,7,13.75,8,14.47777777777778,12.4,0.5,1.79,FEMME,OUI,OUI,NON,OUI,NON,0
19,134.3,135.0,5,14.2,5,13.8,12.7,3.7,-1.7,FEMME,NON,OUI,NON,OUI,NON,0
19,111.5,115.0,4,11.96,0,0.0,13.9,-0.3,0.79,FEMME,NON,NON,OUI,OUI,NON,1
21,128.8,130.0,8,12.875,5,13.4,8.9,1.4,3.51,FEMME,NON,OUI,NON,NON,NON,1
20,110.0,133.1,0,0.0,0,0.0,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,0
36,113.5,130.0,0,0.0,0,0.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,1
43,160.0,133.1,18,14.63157894736842,13,14.23076923076923,15.5,2.8,-4.06,FEMME,NON,OUI,NON,NON,NON,0
19,117.4,123.0,0,0.0,0,0.0,11.1,0.6,2.02,FEMME,NON,OUI,NON,OUI,NON,1
20,122.2,130.0,10,13.0,11,12.272727272727272,11.1,0.6,2.02,FEMME,NON,OUI,OUI,NON,NON,0
19,118.2,122.0,0,0.0,0,0.0,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,1
20,106.7,113.0,4,14.2,4,13.25,15.5,2.8,-4.06,FEMME,NON,OUI,NON,OUI,NON,1
20,108.2,111.0,6,13.266666666666666,5,12.3,12.4,0.5,1.79,FEMME,NON,OUI,NON,OUI,NON,1
20,107.0,133.1,6,11.666666666666666,3,13.0,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,0
18,136.1,142.0,6,13.857142857142858,6,15.0,13.9,-0.3,0.79,FEMME,NON,OUI,NON,OUI,NON,0
18,115.3,123.0,3,13.0,3,11.0,8.9,1.4,3.51,FEMME,OUI,OUI,NON,OUI,NON,0
19,139.8,131.0,5,13.4,5,12.8,10.8,1.4,1.74,FEMME,NON,OUI,NON,OUI,NON,0
18,157.0,158.0,6,12.666666666666666,6,12.571428571428571,10.8,1.4,1.74,FEMME,NON,OUI,NON,OUI,NON,0
18,131.0,122.0,6,12.516666666666666,6,12.516666666666666,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,1
20,100.0,130.0,6,11.616666666666667,7,13.0,13.9,-0.3,0.79,FEMME,NON,OUI,NON,NON,NON,0
20,140.4,154.0,2,10.0,4,10.75,7.6,2.6,0.32,FEMME,OUI,OUI,NON,OUI,NON,0
20,113.4,120.0,3,10.333333333333334,3,10.666666666666666,12.4,0.5,1.79,FEMME,NON,OUI,NON,NON,NON,0
18,137.0,140.0,5,13.142857142857142,5,11.4,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,NON,NON,0
18,121.8,127.0,5,12.6,5,14.0,11.1,0.6,2.02,FEMME,NON,OUI,NON,NON,NON,0
21,131.0,133.1,3,11.0,2,11.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,1
19,118.6,120.0,5,10.8,4,11.25,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,0
19,122.3,137.0,0,0.0,0,0.0,10.8,1.4,1.74,FEMME,NON,OUI,NON,NON,NON,1
19,127.9,131.0,5,12.8,5,14.2,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,NON,NON,0
19,121.3,130.0,6,14.166666666666666,6,12.2,15.5,2.8,-4.06,FEMME,NON,OUI,NON,OUI,NON,0
19,117.1,122.0,5,12.1,0,0.0,13.9,-0.3,0.79,FEMME,NON,OUI,NON,OUI,NON,1
20,160.0,160.0,6,14.166666666666666,5,13.77777777777778,12.4,0.5,1.79,FEMME,NON,OUI,NON,OUI,NON,0
18,145.3,146.0,5,12.8,5,13.4,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,OUI,NON,0
18,122.6,131.0,6,13.0,6,13.666666666666666,12.4,0.5,1.79,FEMME,NON,OUI,NON,OUI,NON,0
19,128.0,132.0,7,13.467142857142855,8,15.011111111111113,12.4,0.5,1.79,FEMME,NON,OUI,NON,OUI,NON,0
18,124.9,138.0,7,13.2375,7,13.742857142857144,13.9,-0.3,0.79,FEMME,OUI,OUI,NON,OUI,NON,1
18,123.7,130.0,6,12.333333333333334,6,13.0,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
19,120.1,126.0,5,12.4,5,14.6,8.9,1.4,3.51,FEMME,NON,OUI,NON,OUI,NON,0
19,131.7,148.0,5,14.0,0,0.0,13.9,-0.3,0.79,FEMME,NON,OUI,NON,OUI,NON,1
20,133.2,130.0,9,11.666666666666666,7,11.714285714285714,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,0
19,109.3,117.0,5,12.0,4,12.5,12.4,0.5,1.79,FEMME,OUI,NON,OUI,NON,NON,1
20,113.0,120.0,4,12.2,4,11.5,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
18,157.9,153.0,6,14.833333333333334,6,14.833333333333334,8.9,1.4,3.51,FEMME,OUI,OUI,OUI,NON,NON,0
20,112.1,117.0,5,13.188,7,12.892857142857142,11.1,0.6,2.02,FEMME,OUI,OUI,NON,NON,NON,0
18,174.7,178.0,7,17.125,8,17.5875,13.9,-0.3,0.79,FEMME,NON,OUI,NON,NON,NON,0
19,128.8,129.0,6,12.666666666666666,6,12.666666666666666,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
19,110.1,116.0,6,12.666666666666666,5,12.0,12.4,0.5,1.79,FEMME,OUI,OUI,NON,OUI,NON,0
22,99.7,99.0,0,0.0,0,0.0,8.9,1.4,3.51,FEMME,NON,NON,OUI,OUI,NON,0
19,121.0,135.0,6,11.333333333333334,6,11.5,12.4,0.5,1.79,FEMME,OUI,OUI,NON,OUI,NON,0
19,131.7,141.0,7,13.605,8,12.33125,15.5,2.8,-4.06,FEMME,OUI,OUI,NON,OUI,NON,0
19,119.1,132.0,5,12.0,5,10.8,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,OUI,NON,0
19,124.7,132.0,0,0.0,0,0.0,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,1
20,117.2,113.0,5,11.2,3,11.666666666666666,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,1
18,128.8,134.0,5,13.375,5,14.166666666666666,13.9,-0.3,0.79,FEMME,NON,OUI,NON,NON,NON,0
20,131.5,136.0,6,13.863333333333337,7,14.178571428571429,11.1,0.6,2.02,FEMME,OUI,OUI,NON,NON,NON,0
18,121.7,136.0,0,0.0,0,0.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
19,123.4,129.0,5,12.4,5,13.4,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,0
18,124.7,138.0,3,12.333333333333334,5,10.833333333333334,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
18,132.8,137.0,6,13.333333333333334,5,11.8,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
21,108.7,115.0,3,12.666666666666666,3,10.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,1
19,138.1,129.0,6,12.0,4,11.5,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,1
18,126.5,131.0,5,10.6,5,11.8,12.4,0.5,1.79,FEMME,OUI,OUI,NON,NON,NON,0
18,127.4,133.0,6,12.25,6,11.857142857142858,12.7,3.7,-1.7,FEMME,OUI,OUI,NON,OUI,NON,0
20,123.6,125.0,4,11.0,6,11.833333333333334,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
24,122.0,120.0,5,11.0,5,12.6,11.1,0.6,2.02,FEMME,OUI,OUI,NON,NON,NON,0
19,118.2,128.0,6,13.166666666666666,6,13.0,10.8,1.4,1.74,FEMME,NON,OUI,NON,NON,NON,1
18,123.9,127.0,7,12.855555555555554,7,12.761111111111113,15.5,2.8,-4.06,FEMME,OUI,OUI,NON,OUI,NON,0
18,125.8,134.0,7,14.91875,8,15.355,15.5,2.8,-4.06,FEMME,NON,OUI,NON,OUI,NON,0
21,123.3,132.0,4,11.5,3,11.0,10.8,1.4,1.74,FEMME,NON,OUI,NON,OUI,NON,1
19,124.4,124.0,5,14.2,5,14.2,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,0
19,126.0,133.1,6,12.5,6,13.0,15.5,2.8,-4.06,FEMME,OUI,OUI,NON,NON,NON,0
47,170.0,170.0,0,0.0,0,0.0,8.9,1.4,3.51,FEMME,NON,OUI,OUI,NON,NON,0
19,121.5,125.0,5,11.666666666666666,4,11.0,13.9,-0.3,0.79,FEMME,NON,OUI,NON,NON,NON,0
29,130.0,130.0,7,14.257142857142856,7,14.257142857142856,12.7,3.7,-1.7,FEMME,NON,OUI,NON,NON,NON,0
21,117.0,125.0,3,12.0,2,11.333333333333334,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,1
28,130.0,130.0,4,11.25,4,10.5,12.7,3.7,-1.7,FEMME,NON,OUI,NON,OUI,NON,0
20,108.0,133.1,7,12.457142857142856,8,13.5625,15.5,2.8,-4.06,FEMME,NON,OUI,NON,NON,NON,0
19,132.3,131.0,6,11.683333333333332,6,11.683333333333332,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
26,148.0,150.0,3,11.666666666666666,5,12.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,NON,NON,0
20,122.6,125.0,4,11.75,6,13.166666666666666,11.1,0.6,2.02,FEMME,NON,NON,OUI,OUI,NON,1
18,123.0,131.0,3,11.666666666666666,4,13.5,7.6,2.6,0.32,FEMME,OUI,OUI,NON,OUI,NON,0
27,102.5,130.0,5,13.2,5,12.0,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,0
20,113.3,123.0,4,11.95,4,11.95,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,1
18,133.0,141.0,5,12.4,5,10.4,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,1
33,140.0,140.0,6,14.35,6,14.583333333333334,16.2,0.3,-0.92,FEMME,NON,OUI,NON,NON,NON,1
35,128.3,140.0,21,12.61904761904762,19,12.789473684210526,12.4,0.5,1.79,FEMME,NON,OUI,NON,OUI,NON,0
26,140.0,140.0,6,12.666666666666666,6,13.166666666666666,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,NON,NON,0
27,104.0,133.1,5,12.0,0,0.0,11.1,0.6,2.02,FEMME,NON,NON,OUI,NON,NON,1
19,122.3,131.0,6,12.166666666666666,0,0.0,15.5,2.8,-4.06,FEMME,NON,NON,NON,OUI,NON,1
20,135.0,143.0,0,0.0,0,0.0,11.1,0.6,2.02,FEMME,NON,OUI,NON,NON,NON,1
20,119.1,132.0,3,10.0,3,10.571428571428571,10.8,1.4,1.74,FEMME,NON,NON,OUI,OUI,NON,1
21,126.6,143.0,8,11.5,4,10.0,9.4,-0.8,-3.12,FEMME,NON,NON,OUI,NON,NON,0
18,129.0,141.0,6,13.05,6,13.05,7.6,2.6,0.32,FEMME,OUI,OUI,NON,OUI,NON,0
24,162.3,133.1,2,11.0,0,0.0,8.9,1.4,3.51,FEMME,NON,OUI,NON,OUI,NON,1
20,163.4,148.0,6,11.5,6,12.0,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,0
21,121.5,125.0,6,12.0,6,12.5,13.9,-0.3,0.79,FEMME,OUI,OUI,NON,NON,NON,0
23,122.8,120.0,2,10.0,1,10.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,NON,NON,0
24,118.0,140.0,0,0.0,0,0.0,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,1
21,134.0,139.0,0,0.0,0,0.0,12.4,0.5,1.79,FEMME,NON,OUI,NON,NON,NON,1
18,129.8,142.0,7,12.242857142857144,7,12.242857142857144,12.7,3.7,-1.7,FEMME,NON,OUI,NON,OUI,NON,0
27,152.0,130.0,0,0.0,0,0.0,8.9,1.4,3.51,FEMME,NON,OUI,NON,OUI,NON,1
18,122.8,126.0,8,12.93375,8,12.93375,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
35,150.0,150.0,0,0.0,0,0.0,13.9,-0.3,0.79,FEMME,NON,OUI,NON,NON,NON,1
18,131.8,130.0,7,12.571428571428571,7,14.428571428571429,11.1,0.6,2.02,FEMME,NON,OUI,NON,NON,NON,0
35,105.9,120.0,3,11.816666666666668,3,11.333333333333334,11.1,0.6,2.02,FEMME,NON,OUI,NON,NON,NON,0
19,132.1,138.0,4,13.75,4,14.333333333333334,10.8,1.4,1.74,FEMME,NON,OUI,NON,OUI,NON,0
20,127.4,127.0,6,11.166666666666666,6,11.333333333333334,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
18,129.5,140.0,7,12.324285714285711,7,12.324285714285711,10.8,1.4,1.74,FEMME,NON,OUI,NON,OUI,NON,0
21,126.7,130.0,6,12.166666666666666,6,11.714285714285714,13.9,-0.3,0.79,FEMME,NON,OUI,OUI,NON,NON,0
18,116.5,128.0,5,11.142857142857142,4,11.25,16.2,0.3,-0.92,FEMME,OUI,OUI,NON,NON,NON,0
18,119.1,132.0,4,11.0,4,10.75,7.6,2.6,0.32,FEMME,NON,OUI,NON,OUI,NON,0
18,126.5,149.0,7,12.914285714285713,7,12.914285714285713,12.7,3.7,-1.7,FEMME,NON,OUI,NON,OUI,NON,0
18,149.8,155.0,6,13.833333333333334,6,14.166666666666666,16.2,0.3,-0.92,FEMME,OUI,OUI,NON,OUI,NON,0
19,115.1,120.0,6,13.857142857142858,5,13.4,13.9,-0.3,0.79,FEMME,NON,OUI,NON,OUI,NON,0
36,124.5,133.1,6,13.714285714285714,5,12.8,16.2,0.3,-0.92,FEMME,OUI,OUI,NON,NON,NON,1
18,128.3,131.0,7,12.642857142857142,7,12.642857142857142,12.7,3.7,-1.7,FEMME,OUI,OUI,NON,OUI,NON,0
18,136.0,149.0,6,12.916666666666666,6,12.916666666666666,7.6,2.6,0.32,FEMME,OUI,OUI,NON,NON,NON,0
20,140.0,140.0,6,15.625,6,15.857142857142858,13.9,-0.3,0.79,FEMME,OUI,OUI,NON,OUI,NON,0
26,126.3,133.1,0,0.0,0,0.0,16.2,0.3,-0.92,FEMME,OUI,OUI,NON,NON,NON,1
21,126.9,122.0,6,11.714285714285714,6,12.0,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,0
25,145.0,130.0,6,12.125,8,13.3125,15.5,2.8,-4.06,FEMME,NON,OUI,NON,NON,NON,0
19,115.8,121.0,5,11.6,5,11.6,12.4,0.5,1.79,FEMME,OUI,OUI,NON,OUI,NON,0
24,100.0,120.0,1,10.0,0,0.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,1
27,102.5,133.1,1,10.0,0,0.0,8.9,1.4,3.51,FEMME,OUI,OUI,NON,NON,NON,1
21,131.5,121.0,0,0.0,2,13.5,7.6,2.6,0.32,FEMME,NON,OUI,NON,NON,NON,1
18,147.0,133.0,4,13.0,3,12.333333333333334,9.4,-0.8,-3.12,FEMME,OUI,OUI,NON,NON,NON,0
19,122.5,134.0,6,13.333333333333334,6,14.5,10.8,1.4,1.74,FEMME,OUI,OUI,NON,NON,NON,0
18,117.5,115.0,4,11.25,2,12.5,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,1
19,150.0,127.0,5,13.85,7,12.19285714285714,11.1,0.6,2.02,FEMME,OUI,OUI,NON,NON,NON,0
