region,type_etablissement,filiere,niveau_etude,moyenne_semestre_1,moyenne_semestre_2,taux_absence,modules_non_valides,participation,bourse,distance_logement_km,acces_internet,activite_professionnelle,historique_redoublement,situation_academique,decrochage
Casablanca-Settat,FACULTE,INGENIERIE,L1,17.98,17.89,6.9,6,ELEVEE,OUI,55.7,OUI,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,DROIT,M2,11.01,8.54,7.5,6,MOYENNE,NON,35.0,OUI,OUI,NON,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,INFORMATIQUE,L2,12.08,12.03,42.7,3,ELEVEE,OUI,11.1,OUI,OUI,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PRIVEE,DROIT,L1,9.41,7.99,51.0,0,MOYENNE,OUI,19.2,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,DROIT,L2,17.21,17.68,27.2,2,FAIBLE,NON,11.1,OUI,NON,NON,REORIENTATION,0
Drâa-Tafilalet,FACULTE,DROIT,L3,15.05,16.78,6.8,3,ELEVEE,NON,7.3,OUI,NON,NON,REDOUBLEMENT,0
Béni Mellal-Khénifra,IUT,DROIT,L3,6.53,7.46,20.0,4,FAIBLE,NON,37.9,OUI,OUI,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,FACULTE,MEDECINE,L2,6.75,5.8,21.9,3,ELEVEE,OUI,10.4,OUI,NON,NON,DIFFICULTE,1
Fès-Meknès,FACULTE,LETTRES,M2,15.36,13.93,22.7,2,MOYENNE,NON,0.4,OUI,NON,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,MEDECINE,M2,9.18,7.4,13.7,6,ELEVEE,NON,5.5,OUI,OUI,NON,REDOUBLEMENT,1
Marrakech-Safi,UNIVERSITE_PUBLIQUE,DROIT,M1,10.12,8.79,3.0,2,FAIBLE,NON,3.6,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,IUT,ECONOMIE,L2,9.7,11.27,38.7,6,MOYENNE,OUI,10.2,OUI,NON,OUI,REDOUBLEMENT,1
Drâa-Tafilalet,UNIVERSITE_PRIVEE,INGENIERIE,M2,7.92,6.32,33.0,5,ELEVEE,NON,0.3,OUI,OUI,NON,REORIENTATION,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,INGENIERIE,M1,12.9,13.55,24.3,6,FAIBLE,OUI,3.8,OUI,OUI,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,SCIENCES,M1,9.66,11.58,17.6,0,FAIBLE,NON,16.7,OUI,OUI,OUI,NORMALE,0
Drâa-Tafilalet,UNIVERSITE_PRIVEE,INGENIERIE,L3,11.68,12.86,9.1,1,MOYENNE,OUI,1.2,OUI,OUI,NON,DIFFICULTE,0
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,LETTRES,L3,7.69,7.7,12.5,6,MOYENNE,NON,6.0,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,INFORMATIQUE,M1,5.79,4.9,11.7,7,MOYENNE,OUI,11.6,OUI,NON,NON,REDOUBLEMENT,1
Drâa-Tafilalet,IUT,SCIENCES,L1,15.0,15.11,22.4,4,MOYENNE,NON,2.3,OUI,NON,NON,NORMALE,0
Fès-Meknès,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,13.65,14.34,40.2,1,ELEVEE,OUI,3.5,NON,NON,NON,REORIENTATION,0
Drâa-Tafilalet,UNIVERSITE_PRIVEE,SCIENCES,L3,12.04,10.99,36.4,0,MOYENNE,OUI,9.9,OUI,NON,NON,REDOUBLEMENT,0
Oriental,ECOLE_INGENIEUR,MEDECINE,M1,9.38,9.05,15.6,4,ELEVEE,NON,29.2,NON,NON,NON,NORMALE,1
Béni Mellal-Khénifra,UNIVERSITE_PUBLIQUE,DROIT,L3,14.6,13.92,4.6,2,ELEVEE,OUI,20.3,NON,NON,NON,REORIENTATION,0
Oriental,ECOLE_INGENIEUR,SCIENCES,M1,14.89,15.4,21.6,6,MOYENNE,NON,2.4,OUI,OUI,NON,NORMALE,0
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,ECONOMIE,L1,6.59,8.44,27.3,5,MOYENNE,OUI,2.3,OUI,OUI,NON,NORMALE,0
Laâyoune-Sakia El Hamra,IUT,DROIT,L3,9.17,10.44,11.0,7,FAIBLE,OUI,7.0,OUI,OUI,NON,REORIENTATION,1
Marrakech-Safi,FACULTE,MEDECINE,M1,13.85,10.53,16.7,1,MOYENNE,NON,2.6,NON,NON,NON,DIFFICULTE,0
Tanger-Tétouan-Al Hoceïma,IUT,MEDECINE,L2,12.25,12.56,19.7,0,ELEVEE,OUI,26.5,OUI,OUI,NON,NORMALE,0
Oriental,ECOLE_INGENIEUR,INFORMATIQUE,L1,15.74,12.94,4.5,7,MOYENNE,OUI,10.6,NON,OUI,OUI,NORMALE,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,MEDECINE,L3,7.62,7.72,38.6,0,MOYENNE,NON,25.0,OUI,OUI,NON,DIFFICULTE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,DROIT,L2,13.13,13.48,18.7,7,ELEVEE,NON,6.1,NON,NON,OUI,REDOUBLEMENT,1
Laâyoune-Sakia El Hamra,FACULTE,INGENIERIE,M2,11.66,12.65,29.7,6,FAIBLE,OUI,6.6,OUI,NON,NON,DIFFICULTE,1
Marrakech-Safi,IUT,DROIT,L1,9.28,8.46,42.8,0,ELEVEE,NON,28.7,NON,NON,NON,NORMALE,1
Guelmim-Oued Noun,FACULTE,INFORMATIQUE,L1,9.33,9.52,21.6,6,MOYENNE,NON,13.3,OUI,OUI,NON,REDOUBLEMENT,0
Dakhla-Oued Ed-Dahab,IUT,SCIENCES,L1,11.46,12.61,21.3,6,FAIBLE,OUI,8.4,NON,NON,NON,NORMALE,0
Marrakech-Safi,ECOLE_INGENIEUR,LETTRES,M1,8.44,8.84,27.3,1,FAIBLE,OUI,5.0,NON,NON,NON,NORMALE,1
Fès-Meknès,FACULTE,ECONOMIE,L3,10.93,8.75,29.4,0,FAIBLE,OUI,7.5,OUI,OUI,NON,REDOUBLEMENT,1
Drâa-Tafilalet,IUT,SCIENCES,M2,10.93,11.0,41.0,5,MOYENNE,NON,44.9,OUI,OUI,OUI,NORMALE,0
Tanger-Tétouan-Al Hoceïma,IUT,DROIT,M1,15.64,18.11,8.5,5,MOYENNE,OUI,49.2,OUI,OUI,NON,REDOUBLEMENT,0
Rabat-Salé-Kénitra,IUT,DROIT,L1,15.49,13.21,6.2,7,FAIBLE,NON,3.8,OUI,NON,OUI,NORMALE,0
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,ECONOMIE,L2,14.89,13.96,16.5,6,FAIBLE,OUI,0.9,OUI,OUI,OUI,NORMALE,1
Tanger-Tétouan-Al Hoceïma,IUT,DROIT,L3,13.46,12.6,29.9,1,MOYENNE,OUI,2.4,OUI,OUI,OUI,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,LETTRES,L3,9.85,10.99,29.7,7,MOYENNE,NON,9.4,NON,NON,NON,NORMALE,1
Guelmim-Oued Noun,IUT,ECONOMIE,L2,12.72,14.53,5.1,6,MOYENNE,NON,6.5,OUI,NON,OUI,NORMALE,0
Béni Mellal-Khénifra,IUT,MEDECINE,L3,10.14,10.8,41.9,1,MOYENNE,NON,49.8,OUI,NON,OUI,DIFFICULTE,0
Fès-Meknès,ECOLE_INGENIEUR,INGENIERIE,L2,12.16,12.76,6.6,0,MOYENNE,NON,14.9,OUI,NON,NON,NORMALE,0
Drâa-Tafilalet,FACULTE,LETTRES,M1,10.94,11.0,5.8,7,MOYENNE,NON,2.5,OUI,OUI,NON,REDOUBLEMENT,1
Laâyoune-Sakia El Hamra,FACULTE,INGENIERIE,L1,11.1,8.48,17.1,5,FAIBLE,OUI,8.0,OUI,OUI,NON,NORMALE,1
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,INGENIERIE,M1,9.56,12.02,17.9,6,FAIBLE,OUI,1.2,OUI,NON,NON,NORMALE,0
