age,duree_mois,type_contrat,statut_logement,incident_paiement_bam,montant_demande_mad,nouvelle_echeance_mad,revenu_mensuel_mad,taux_endettement,risque_non_approbation
37,18,CDI,PROPRIETAIRE,0,38800.0,2268.17,5000.0,0.4536,1
37,10,CDI,PROPRIETAIRE,0,22700.0,2338.18,9400.0,0.2487,0
24,9,CDI,PROPRIETAIRE,0,8500.0,970.21,4000.0,0.2426,0
30,30,FONCTIONNAIRE,PROPRIETAIRE,0,43200.0,1564.06,4000.0,0.391,0
26,12,CDI,PROPRIETAIRE,0,21400.0,1846.74,5300.0,0.34840000000000004,0
44,18,CDI,PROPRIETAIRE,1,114800.0,6710.99,26800.0,0.2504,0
24,30,CDI,LOCATAIRE,1,114500.0,4145.47,27600.0,0.1502,0
58,48,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,113600.0,2694.02,6000.0,0.449,1
35,11,CDD,PROPRIETAIRE,1,25800.0,2422.37,5400.0,0.4486,0
39,36,FONCTIONNAIRE,PROPRIETAIRE,0,42500.0,1302.58,4000.0,0.3256,0
23,6,INFORMEL,LOCATAIRE,0,25000.0,4246.02,28300.0,0.15,0
39,11,CDI,PROPRIETAIRE,1,133700.0,12553.12,83700.0,0.15,0
28,12,CDI,PROPRIETAIRE,0,38400.0,3313.78,7400.0,0.44780000000000003,0
29,24,CDD,PROPRIETAIRE,1,43200.0,1924.4,4300.0,0.4475,0
30,27,FONCTIONNAIRE,PROPRIETAIRE,1,110400.0,4406.22,29400.0,0.1499,0
25,12,CDI,PROPRIETAIRE,0,23300.0,2010.71,5700.0,0.3528,0
31,18,CDI,PROPRIETAIRE,0,62500.0,3653.63,14600.0,0.2502,0
57,36,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,41200.0,1262.74,4000.0,0.3157,1
26,6,CDI,PROPRIETAIRE,0,14500.0,2462.69,16400.0,0.1502,0
52,12,INFORMEL,PROPRIETAIRE,0,119700.0,10329.68,41300.0,0.2501,1
31,36,CDI,PROPRIETAIRE,1,177000.0,5424.87,21700.0,0.25,0
23,18,FONCTIONNAIRE,PROPRIETAIRE,0,36300.0,2122.03,6100.0,0.3479,0
23,36,CDD,LOCATAIRE,1,115200.0,3530.77,7800.0,0.45270000000000005,1
27,9,CDI,PROPRIETAIRE,0,25700.0,2933.45,11700.0,0.2507,0
50,15,FONCTIONNAIRE,PROPRIETAIRE,1,28400.0,1976.41,4400.0,0.44920000000000004,0
61,36,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,36100.0,1106.43,4000.0,0.2766,1
25,48,CDI,PROPRIETAIRE,0,266800.0,6327.15,25300.0,0.2501,1
26,24,CDD,PROPRIETAIRE,0,58800.0,2619.32,5800.0,0.45159999999999995,0
48,27,FONCTIONNAIRE,PROPRIETAIRE,0,96000.0,3831.49,8500.0,0.4508,0
29,12,CDD,PROPRIETAIRE,0,40200.0,3469.12,13900.0,0.24960000000000002,0
22,12,CDI,PROPRIETAIRE,0,18600.0,1605.11,4000.0,0.40130000000000005,0
37,36,CDI,LOGEMENT_DE_FONCTION,0,33700.0,1032.87,4000.0,0.2582,1
25,36,CDI,PROPRIETAIRE,0,44300.0,1357.75,4000.0,0.3394,0
30,36,CDI,PROPRIETAIRE,0,150500.0,4612.67,30800.0,0.14980000000000002,0
46,7,FONCTIONNAIRE,LOCATAIRE,1,13500.0,1970.58,4400.0,0.44789999999999996,0
51,8,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,21500.0,2753.42,7900.0,0.34850000000000003,0
41,42,CDI,PROPRIETAIRE,1,110100.0,2937.98,11800.0,0.249,0
40,36,FONCTIONNAIRE,PROPRIETAIRE,0,36600.0,1121.75,4000.0,0.2804,1
66,12,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,28200.0,2433.56,5400.0,0.4507,0
34,42,CDD,PROPRIETAIRE,0,73400.0,1958.65,4400.0,0.4451,1
51,11,CDI,PROPRIETAIRE,1,88300.0,8290.51,33200.0,0.24969999999999998,0
39,54,CDI,PROPRIETAIRE,0,174600.0,3737.92,15000.0,0.2492,0
22,30,CDD,PROPRIETAIRE,0,70900.0,2566.93,10300.0,0.2492,0
44,24,CDD,PROPRIETAIRE,0,109900.0,4895.63,32600.0,0.1502,1
47,15,FONCTIONNAIRE,PROPRIETAIRE,0,22400.0,1558.86,4000.0,0.3897,0
24,18,CDI,LOCATAIRE,0,29000.0,1695.28,4800.0,0.3532,0
58,24,FONCTIONNAIRE,PROPRIETAIRE,0,32500.0,1447.75,4000.0,0.3619,0
52,10,FONCTIONNAIRE,PROPRIETAIRE,0,42800.0,4408.54,12600.0,0.34990000000000004,0
29,12,CDI,PROPRIETAIRE,1,26100.0,2252.34,5000.0,0.45049999999999996,0
27,18,CDD,PROPRIETAIRE,1,24000.0,1402.99,4000.0,0.3507,0
47,36,CDI,LOGEMENT_DE_FONCTION,0,233300.0,7150.41,47700.0,0.1499,1
30,18,CDI,PROPRIETAIRE,0,41600.0,2431.86,5400.0,0.45030000000000003,0
28,12,CDI,PROPRIETAIRE,0,20500.0,1769.08,4000.0,0.44229999999999997,1
56,12,FONCTIONNAIRE,PROPRIETAIRE,1,11400.0,983.78,4000.0,0.2459,0
54,12,FONCTIONNAIRE,PROPRIETAIRE,1,26100.0,2252.34,5000.0,0.45049999999999996,0
33,12,FONCTIONNAIRE,PROPRIETAIRE,1,14700.0,1268.56,4000.0,0.3171,1
20,24,FONCTIONNAIRE,LOCATAIRE,1,66900.0,2980.14,6600.0,0.4515,0
54,12,FONCTIONNAIRE,PROPRIETAIRE,0,24400.0,2105.63,4700.0,0.44799999999999995,0
58,54,CDD,LOCATAIRE,0,295000.0,6315.49,18000.0,0.35090000000000005,1
61,12,CDI,PROPRIETAIRE,1,37200.0,3210.23,7100.0,0.4521,0
34,18,CDI,PROPRIETAIRE,0,48500.0,2835.22,6300.0,0.45,0
36,36,FONCTIONNAIRE,PROPRIETAIRE,1,43200.0,1324.04,4000.0,0.331,0
36,20,CDI,LOCATAIRE,1,130600.0,6907.75,19700.0,0.3506,0
41,24,FONCTIONNAIRE,LOCATAIRE,0,27200.0,1211.66,4000.0,0.3029,0
24,36,CDI,LOCATAIRE,0,43000.0,1317.91,4000.0,0.3295,0
24,6,CDI,PROPRIETAIRE,1,17200.0,2921.26,8300.0,0.35200000000000004,0
35,9,CDI,LOCATAIRE,1,35500.0,4052.04,9000.0,0.45020000000000004,0
26,12,CDD,LOCATAIRE,0,45200.0,3900.6,15600.0,0.25,0
39,24,CDI,PROPRIETAIRE,1,220900.0,9840.27,39400.0,0.2498,1
39,18,FONCTIONNAIRE,PROPRIETAIRE,0,119500.0,6985.74,27900.0,0.2504,1
32,12,CDI,PROPRIETAIRE,0,112400.0,9699.72,38800.0,0.25,0
30,24,CDD,PROPRIETAIRE,0,142800.0,6361.2,42400.0,0.15,0
35,14,FONCTIONNAIRE,PROPRIETAIRE,0,26100.0,1940.91,12900.0,0.1505,0
31,6,FONCTIONNAIRE,PROPRIETAIRE,1,26800.0,4551.73,30300.0,0.1502,0
23,15,CDD,LOCATAIRE,0,7300.0,508.02,4000.0,0.127,0
28,18,CDI,LOCATAIRE,0,115800.0,6769.45,19300.0,0.3507,0
25,36,CDI,PROPRIETAIRE,1,145300.0,4453.3,9900.0,0.4498,1
35,12,FONCTIONNAIRE,PROPRIETAIRE,0,31100.0,2683.82,7700.0,0.34850000000000003,0
47,48,FONCTIONNAIRE,PROPRIETAIRE,1,66200.0,1569.93,4000.0,0.3925,0
30,42,CDI,PROPRIETAIRE,0,132700.0,3541.05,7900.0,0.4482,1
27,10,CDD,LOCATAIRE,1,39400.0,4058.33,16200.0,0.2505,0
23,33,CDI,PROPRIETAIRE,1,79200.0,2627.36,17500.0,0.1501,1
36,12,CDI,PROPRIETAIRE,1,43800.0,3779.78,10800.0,0.35,0
25,21,CDI,PROPRIETAIRE,0,33900.0,1712.2,4900.0,0.3494,1
41,24,FONCTIONNAIRE,LOCATAIRE,1,71600.0,3189.51,7100.0,0.44920000000000004,0
24,12,CDI,LOCATAIRE,0,32700.0,2821.89,8100.0,0.34840000000000004,0
63,10,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,14400.0,1483.25,4000.0,0.37079999999999996,0
27,18,CDD,LOCATAIRE,0,35600.0,2081.11,4600.0,0.4524,1
30,12,CDI,PROPRIETAIRE,1,39200.0,3382.82,7500.0,0.451,0
40,12,CDI,PROPRIETAIRE,0,13000.0,1121.85,4000.0,0.2805,0
30,12,CDI,PROPRIETAIRE,0,11800.0,1018.3,4000.0,0.2546,1
34,12,INFORMEL,PROPRIETAIRE,1,34400.0,2968.6,6600.0,0.4498,0
29,12,CDI,PROPRIETAIRE,1,64700.0,5583.38,16000.0,0.349,1
24,48,CDI,PROPRIETAIRE,0,157000.0,3723.25,24800.0,0.1501,0
29,36,CDI,PROPRIETAIRE,1,127400.0,3904.68,8700.0,0.44880000000000003,1
27,15,CDD,PROPRIETAIRE,0,50100.0,3486.56,13900.0,0.25079999999999997,0
47,18,CDI,LOGEMENT_DE_FONCTION,0,36700.0,2145.41,4800.0,0.447,0
21,60,CDI,PROPRIETAIRE,0,187700.0,3672.57,14700.0,0.2498,0
38,12,FONCTIONNAIRE,PROPRIETAIRE,1,22900.0,1976.19,4400.0,0.44909999999999994,0
27,27,CDI,PROPRIETAIRE,1,159300.0,6357.89,25400.0,0.2503,0
66,12,CDI,PROPRIETAIRE,0,14200.0,1225.41,4000.0,0.3064,1
35,15,CDI,PROPRIETAIRE,1,50500.0,3514.39,7800.0,0.4506,0
44,12,CDI,LOCATAIRE,0,34800.0,3003.12,12000.0,0.2503,0
27,6,CDD,PROPRIETAIRE,0,13100.0,2224.91,8900.0,0.25,0
30,36,CDD,PROPRIETAIRE,0,88700.0,2718.57,6000.0,0.4531,0
27,27,CDI,PROPRIETAIRE,0,63200.0,2522.4,7200.0,0.3503,0
22,18,CDI,PROPRIETAIRE,0,45500.0,2659.84,10600.0,0.2509,1
23,21,CDD,PROPRIETAIRE,1,42300.0,2136.46,4700.0,0.4546,0
30,48,CDI,PROPRIETAIRE,0,66000.0,1565.19,4000.0,0.39130000000000004,0
39,6,FONCTIONNAIRE,PROPRIETAIRE,1,15900.0,2700.47,18000.0,0.15,0
51,12,CDI,PROPRIETAIRE,1,12600.0,1087.33,4000.0,0.2718,0
28,36,CDI,PROPRIETAIRE,1,99400.0,3046.51,8700.0,0.3502,0
46,18,FONCTIONNAIRE,PROPRIETAIRE,1,29300.0,1712.82,4000.0,0.4282,0
42,6,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,24900.0,4229.03,16900.0,0.2502,0
38,10,CDI,PROPRIETAIRE,0,35600.0,3666.92,24400.0,0.1503,0
24,36,CDI,PROPRIETAIRE,0,108200.0,3316.22,7400.0,0.4481,0
29,24,FONCTIONNAIRE,LOCATAIRE,1,143500.0,6392.39,25600.0,0.24969999999999998,0
36,24,CDI,LOCATAIRE,1,128900.0,5742.01,12800.0,0.4486,0
20,12,CDI,LOCATAIRE,0,23700.0,2045.23,8200.0,0.2494,1
48,9,FONCTIONNAIRE,PROPRIETAIRE,1,23800.0,2716.58,7800.0,0.3483,0
45,12,FONCTIONNAIRE,PROPRIETAIRE,0,6300.0,543.67,4000.0,0.1359,0
38,24,CDI,PROPRIETAIRE,0,65000.0,2895.51,11600.0,0.24960000000000002,0
34,6,CDI,PROPRIETAIRE,1,35100.0,5961.41,39700.0,0.1502,0
36,24,FONCTIONNAIRE,PROPRIETAIRE,1,53100.0,2365.41,6800.0,0.3479,0
30,18,CDD,PROPRIETAIRE,1,19500.0,1139.93,4000.0,0.285,0
36,15,CDI,PROPRIETAIRE,0,23300.0,1621.49,4000.0,0.4054,0
70,10,INFORMEL,LOGEMENT_DE_FONCTION,0,135200.0,13926.05,55700.0,0.25,0
36,36,FONCTIONNAIRE,PROPRIETAIRE,0,16800.0,514.9,4000.0,0.12869999999999998,0
32,6,CDI,PROPRIETAIRE,0,55100.0,9358.22,62400.0,0.15,0
33,18,INFORMEL,PROPRIETAIRE,0,20900.0,1221.77,4000.0,0.3054,1
20,11,CDD,PROPRIETAIRE,0,29200.0,2741.59,6100.0,0.44939999999999997,0
25,24,CDI,LOCATAIRE,0,73500.0,3274.15,13100.0,0.24989999999999998,0
31,24,FONCTIONNAIRE,PROPRIETAIRE,1,35800.0,1594.76,4000.0,0.3987,1
33,15,FONCTIONNAIRE,LOCATAIRE,0,17600.0,1224.82,4000.0,0.3062,1
26,12,CDI,PROPRIETAIRE,0,14100.0,1216.78,4000.0,0.3042,0
34,24,INFORMEL,PROPRIETAIRE,1,38200.0,1701.67,4900.0,0.34729999999999994,1
33,8,CDI,PROPRIETAIRE,0,26200.0,3355.33,7500.0,0.4474,0
26,21,CDD,PROPRIETAIRE,1,63200.0,3192.07,12800.0,0.2494,1
53,30,INFORMEL,PROPRIETAIRE,0,138500.0,5014.39,11100.0,0.4517,1
42,12,CDI,PROPRIETAIRE,0,47700.0,4116.34,16500.0,0.2495,0
52,6,FONCTIONNAIRE,PROPRIETAIRE,1,6300.0,1070.0,4000.0,0.2675,0
31,12,CDI,LOCATAIRE,0,36300.0,3132.56,7000.0,0.4475,0
65,21,FONCTIONNAIRE,PROPRIETAIRE,1,10600.0,535.38,4000.0,0.1338,0
28,36,CDD,PROPRIETAIRE,1,177100.0,5427.94,36200.0,0.1499,1
30,36,CDI,PROPRIETAIRE,1,82400.0,2525.48,10100.0,0.25,1
40,21,CDI,PROPRIETAIRE,0,30500.0,1540.48,4000.0,0.3851,1
50,24,CDI,PROPRIETAIRE,1,69900.0,3113.78,6900.0,0.45130000000000003,0
36,18,FONCTIONNAIRE,PROPRIETAIRE,1,16400.0,958.71,4000.0,0.2397,1
31,15,CDI,PROPRIETAIRE,1,25200.0,1753.72,4000.0,0.4384,0
74,9,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,94900.0,10832.08,43300.0,0.2502,1
68,16,INFORMEL,LOGEMENT_DE_FONCTION,1,21700.0,1419.54,5700.0,0.249,0
20,12,CDI,PROPRIETAIRE,0,12500.0,1078.71,4000.0,0.2697,1
33,18,CDI,PROPRIETAIRE,0,60000.0,3507.49,23400.0,0.1499,0
54,24,CDI,PROPRIETAIRE,0,84900.0,3781.98,15100.0,0.2505,1
34,48,CDI,LOGEMENT_DE_FONCTION,0,71100.0,1686.13,4000.0,0.4215,1
36,27,CDI,PROPRIETAIRE,0,72400.0,2889.59,6400.0,0.4515,1
29,6,CDI,LOCATAIRE,0,39000.0,6623.78,26500.0,0.25,0
21,45,CDI,LOCATAIRE,0,56100.0,1408.13,4000.0,0.35200000000000004,1
34,9,FONCTIONNAIRE,PROPRIETAIRE,1,27800.0,3173.15,12700.0,0.24989999999999998,1
28,6,CDI,PROPRIETAIRE,1,25600.0,4347.92,29000.0,0.1499,0
27,12,CDD,LOCATAIRE,0,17600.0,1518.82,4000.0,0.3797,1
36,24,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,51100.0,2276.31,5100.0,0.44630000000000003,0
40,18,FONCTIONNAIRE,PROPRIETAIRE,1,79500.0,4647.42,10300.0,0.4512,1
52,9,FONCTIONNAIRE,PROPRIETAIRE,1,17300.0,1974.66,4400.0,0.44880000000000003,0
27,12,CDI,PROPRIETAIRE,0,21600.0,1864.0,4100.0,0.4546,0
26,27,CDI,PROPRIETAIRE,1,94700.0,3779.61,10800.0,0.35,0
21,12,CDI,LOCATAIRE,0,16700.0,1441.15,4000.0,0.3603,1
38,12,FONCTIONNAIRE,PROPRIETAIRE,1,27700.0,2390.41,5300.0,0.451,0
38,30,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,196500.0,7114.28,20300.0,0.3505,0
43,12,FONCTIONNAIRE,PROPRIETAIRE,1,35800.0,3089.41,6900.0,0.44770000000000004,0
26,12,CDI,PROPRIETAIRE,1,26300.0,2269.6,5000.0,0.4539,0
21,24,CDI,PROPRIETAIRE,0,121500.0,5412.37,21600.0,0.2506,0
55,12,CDI,PROPRIETAIRE,0,26100.0,2252.34,6400.0,0.3519,0
33,9,CDI,PROPRIETAIRE,1,56900.0,6494.68,43300.0,0.15,0
45,36,FONCTIONNAIRE,PROPRIETAIRE,0,70900.0,2173.01,8700.0,0.2498,0
50,27,INFORMEL,PROPRIETAIRE,0,97900.0,3907.33,15600.0,0.2505,1
66,30,FONCTIONNAIRE,PROPRIETAIRE,1,35300.0,1278.04,4000.0,0.3195,1
51,36,FONCTIONNAIRE,PROPRIETAIRE,1,61800.0,1894.11,4200.0,0.451,0
39,6,CDI,PROPRIETAIRE,1,17200.0,2921.26,19500.0,0.14980000000000002,0
31,18,CDI,PROPRIETAIRE,0,57400.0,3355.5,9600.0,0.34950000000000003,0
23,36,CDI,PROPRIETAIRE,0,72400.0,2218.99,8900.0,0.2493,0
24,24,CDI,LOCATAIRE,0,55900.0,2490.14,10000.0,0.249,0
64,10,CDI,PROPRIETAIRE,0,25200.0,2595.68,10400.0,0.24960000000000002,0
26,12,CDD,PROPRIETAIRE,0,11600.0,1001.04,4000.0,0.2503,0
23,12,CDI,LOCATAIRE,0,22200.0,1915.78,4300.0,0.44549999999999995,0
30,12,CDI,PROPRIETAIRE,0,13100.0,1130.48,4000.0,0.2826,0
32,24,CDI,PROPRIETAIRE,1,55100.0,2454.5,5500.0,0.44630000000000003,0
30,15,CDI,PROPRIETAIRE,0,86200.0,5998.83,17100.0,0.3508,0
27,36,CDI,PROPRIETAIRE,0,48300.0,1480.35,4000.0,0.3701,0
27,48,CDI,PROPRIETAIRE,0,202800.0,4809.39,32100.0,0.14980000000000002,1
53,12,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,145500.0,12556.13,27900.0,0.45,1
22,9,CDI,PROPRIETAIRE,0,27300.0,3116.08,6900.0,0.45159999999999995,1
22,24,CDD,LOGEMENT_DE_FONCTION,0,58300.0,2597.05,5800.0,0.44780000000000003,0
26,36,CDI,PROPRIETAIRE,0,77900.0,2387.56,5300.0,0.45049999999999996,1
51,9,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,46400.0,5296.19,21200.0,0.2498,0
35,12,CDI,PROPRIETAIRE,0,39600.0,3417.34,9800.0,0.34869999999999995,0
25,18,CDI,PROPRIETAIRE,0,16000.0,935.33,4000.0,0.23379999999999998,0
42,4,CDI,PROPRIETAIRE,1,28600.0,7247.08,29000.0,0.24989999999999998,0
30,24,INFORMEL,PROPRIETAIRE,0,33700.0,1501.21,4000.0,0.3753,1
23,6,INFORMEL,PROPRIETAIRE,0,269300.0,45738.08,304900.0,0.15,1
61,21,FONCTIONNAIRE,LOCATAIRE,0,51200.0,2585.98,5700.0,0.4537,1
35,12,CDI,PROPRIETAIRE,1,23900.0,2062.48,4600.0,0.4484,0
39,30,FONCTIONNAIRE,PROPRIETAIRE,0,46700.0,1690.77,11300.0,0.1496,0
29,24,FONCTIONNAIRE,PROPRIETAIRE,0,16900.0,752.83,4000.0,0.1882,1
51,6,CDI,PROPRIETAIRE,0,29500.0,5010.3,14300.0,0.3504,0
24,48,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,85200.0,2020.51,5800.0,0.34840000000000004,1
27,12,CDI,PROPRIETAIRE,1,21900.0,1889.89,5400.0,0.35,0
35,12,CDI,PROPRIETAIRE,0,63800.0,5505.71,12200.0,0.45130000000000003,0
25,24,CDI,PROPRIETAIRE,0,23300.0,1037.93,4000.0,0.2595,0
52,12,FONCTIONNAIRE,PROPRIETAIRE,1,13300.0,1147.74,4000.0,0.2869,0
35,6,CDI,LOCATAIRE,0,22300.0,3787.45,8400.0,0.4509,0
26,24,CDI,PROPRIETAIRE,0,35600.0,1585.85,6300.0,0.25170000000000003,0
22,18,INFORMEL,LOCATAIRE,0,8000.0,467.66,4000.0,0.11689999999999999,1
39,6,CDI,PROPRIETAIRE,1,12300.0,2089.04,6000.0,0.3482,0
46,12,CDI,PROPRIETAIRE,0,41600.0,3589.93,23900.0,0.1502,0
24,30,CDI,PROPRIETAIRE,0,39800.0,1440.96,4000.0,0.3602,1
35,24,CDI,PROPRIETAIRE,1,76800.0,3421.15,13700.0,0.24969999999999998,0
24,9,CDI,PROPRIETAIRE,0,37600.0,4291.74,17200.0,0.2495,0
27,60,CDI,PROPRIETAIRE,1,137200.0,2684.48,17900.0,0.15,0
35,24,CDI,PROPRIETAIRE,1,49700.0,2213.95,4900.0,0.4518,0
29,12,CDI,LOGEMENT_DE_FONCTION,0,39800.0,3434.6,7600.0,0.45189999999999997,1
23,15,CDD,PROPRIETAIRE,0,70500.0,4906.23,32700.0,0.15,0
57,11,INFORMEL,PROPRIETAIRE,1,21300.0,1999.86,4400.0,0.4545,0
27,12,CDI,PROPRIETAIRE,0,30700.0,2649.3,10600.0,0.24989999999999998,0
55,24,FONCTIONNAIRE,PROPRIETAIRE,0,29700.0,1323.02,4000.0,0.3308,0
36,18,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,98100.0,5734.74,22900.0,0.2504,0
57,12,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,50800.0,4383.86,17500.0,0.2505,0
32,10,FONCTIONNAIRE,PROPRIETAIRE,1,22800.0,2348.48,6700.0,0.3505,0
37,15,FONCTIONNAIRE,PROPRIETAIRE,0,14800.0,1029.96,4000.0,0.2575,1
36,36,FONCTIONNAIRE,PROPRIETAIRE,1,116600.0,3573.67,7900.0,0.4524,0
38,24,CDD,PROPRIETAIRE,0,28400.0,1265.11,4000.0,0.31629999999999997,0
45,14,FONCTIONNAIRE,PROPRIETAIRE,0,166100.0,12351.91,82300.0,0.1501,1
25,24,FONCTIONNAIRE,PROPRIETAIRE,0,18500.0,824.11,4000.0,0.20600000000000002,0
32,18,CDI,PROPRIETAIRE,0,49200.0,2876.14,6400.0,0.44939999999999997,0
37,12,CDI,LOCATAIRE,1,25900.0,2235.08,6400.0,0.3492,0
36,48,INFORMEL,LOGEMENT_DE_FONCTION,0,225100.0,5338.24,11900.0,0.4486,0
28,48,CDI,PROPRIETAIRE,0,56600.0,1342.27,4000.0,0.3356,1
34,30,CDD,PROPRIETAIRE,0,222000.0,8037.51,53600.0,0.15,1
32,9,CDI,PROPRIETAIRE,0,49900.0,5695.69,38000.0,0.1499,0
26,18,CDI,PROPRIETAIRE,1,44500.0,2601.39,10400.0,0.2501,0
49,12,FONCTIONNAIRE,PROPRIETAIRE,0,23300.0,2010.71,8000.0,0.25129999999999997,0
32,6,CDD,PROPRIETAIRE,0,85300.0,14487.4,96600.0,0.15,1
29,24,CDI,LOCATAIRE,0,35200.0,1568.03,4000.0,0.392,0
23,15,FONCTIONNAIRE,LOCATAIRE,1,62300.0,4335.58,12400.0,0.3496,0
50,12,CDI,PROPRIETAIRE,0,29100.0,2511.23,5600.0,0.4484,0
49,18,CDI,PROPRIETAIRE,0,26700.0,1560.83,4000.0,0.39020000000000005,0
63,15,FONCTIONNAIRE,PROPRIETAIRE,1,28100.0,1955.53,4300.0,0.4548,0
37,24,CDD,PROPRIETAIRE,1,71700.0,3193.97,7100.0,0.4499,0
35,47,CDD,PROPRIETAIRE,0,198400.0,4792.75,32000.0,0.14980000000000002,0
26,48,CDI,PROPRIETAIRE,0,88600.0,2101.14,4700.0,0.4471,0
31,48,INFORMEL,LOGEMENT_DE_FONCTION,1,140300.0,3327.21,13300.0,0.2502,0
49,12,CDI,PROPRIETAIRE,0,20200.0,1743.19,4000.0,0.43579999999999997,0
48,24,CDD,PROPRIETAIRE,1,18900.0,841.92,4000.0,0.21050000000000002,1
26,12,CDI,PROPRIETAIRE,0,19900.0,1717.3,6900.0,0.2489,0
28,36,CDD,LOCATAIRE,0,173900.0,5329.86,35500.0,0.1501,1
44,24,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,118800.0,5292.09,21200.0,0.24960000000000002,0
56,42,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,1,88700.0,2366.92,5300.0,0.44659999999999994,0
46,48,FONCTIONNAIRE,PROPRIETAIRE,1,141100.0,3346.18,7400.0,0.4522,0
26,48,CDD,PROPRIETAIRE,0,184300.0,4370.67,29100.0,0.1502,1
