secteur_activite,region,age_demandeur,statut_professionnel,revenu_mensuel_mad,charges_mensuelles_mad,montant_demande_mad,duree_credit_mois,anciennete_professionnelle_annees,credits_existants,incidents_paiement_24_mois,ratio_endettement,type_garantie,type_credit,defaut_paiement
TECH,Casablanca-Settat,48,INDEPENDANT,8452,4410,10300,60,29,2,0,0.521,CAUTION,CONSOMMATION,0
SERVICES,Casablanca-Settat,69,SALARIE_CDI,16440,9018,17018,60,42,5,2,0.47,AUCUNE,PROFESSIONNEL,0
COMMERCE,Rabat-Salé-Kénitra,31,SALARIE_CDI,2500,1409,67042,12,10,2,0,0.571,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Rabat-Salé-Kénitra,67,SALARIE_CDI,6156,1130,21855,36,44,4,0,0.278,CAUTION,CONSOMMATION,0
SERVICES,Tanger-Tétouan-Al Hoceïma,75,FONCTIONNAIRE,4074,758,56385,48,45,5,0,0.144,AUCUNE,CONSOMMATION,1
COMMERCE,Dakhla-Oued Ed-Dahab,45,SALARIE_CDI,4376,1312,14695,84,21,0,0,0.346,CAUTION,PROFESSIONNEL,0
TECH,Laâyoune-Sakia El Hamra,78,SALARIE_CDI,12627,6195,19763,84,45,5,0,0.48,HYPOTHEQUE,IMMOBILIER,0
AGRICULTURE,Rabat-Salé-Kénitra,74,FONCTIONNAIRE,6378,3642,19413,48,45,4,1,0.57,NANTISSEMENT,IMMOBILIER,1
INDUSTRIE,Dakhla-Oued Ed-Dahab,68,INDEPENDANT,2835,1658,50703,36,45,3,2,0.616,NANTISSEMENT,IMMOBILIER,1
INDUSTRIE,Béni Mellal-Khénifra,41,SALARIE_CDI,7545,1915,31309,24,22,2,1,0.191,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Oriental,36,INDEPENDANT,20255,10810,16690,48,9,4,0,0.495,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Guelmim-Oued Noun,72,SALARIE_CDD,3594,1691,59882,24,45,0,0,0.425,AUCUNE,IMMOBILIER,0
SERVICES,Souss-Massa,45,SALARIE_CDD,10299,6317,51329,24,21,5,0,0.698,AUCUNE,IMMOBILIER,0
COMMERCE,Fès-Meknès,19,SALARIE_CDD,16407,8801,46088,120,0,1,2,0.589,CAUTION,CONSOMMATION,1
SERVICES,Oriental,63,SALARIE_CDI,7925,3283,44653,48,44,0,0,0.464,CAUTION,CONSOMMATION,0
COMMERCE,Drâa-Tafilalet,39,SALARIE_CDI,19295,10450,19975,36,14,4,2,0.592,AUCUNE,IMMOBILIER,1
INDUSTRIE,Drâa-Tafilalet,76,INDEPENDANT,6021,1831,87641,36,45,0,4,0.345,NANTISSEMENT,CONSOMMATION,1
TECH,Marrakech-Safi,71,SALARIE_CDI,15532,8435,33836,36,44,1,0,0.462,AUCUNE,IMMOBILIER,0
COMMERCE,Dakhla-Oued Ed-Dahab,24,RETRAITE,13967,7550,43809,84,0,1,2,0.511,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Fès-Meknès,74,SALARIE_CDI,7985,4612,47479,48,45,5,2,0.567,HYPOTHEQUE,PROFESSIONNEL,1
TECH,Guelmim-Oued Noun,77,SALARIE_CDD,4150,1125,18743,60,45,1,1,0.278,AUCUNE,CONSOMMATION,1
TECH,Fès-Meknès,65,FONCTIONNAIRE,5163,2966,136964,60,43,4,2,0.524,CAUTION,CONSOMMATION,0
INDUSTRIE,Casablanca-Settat,35,INDEPENDANT,2822,662,35634,48,11,3,0,0.165,CAUTION,CONSOMMATION,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,60,SALARIE_CDI,10587,5674,37174,48,40,3,1,0.483,NANTISSEMENT,CONSOMMATION,0
COMMERCE,Béni Mellal-Khénifra,72,SALARIE_CDI,10031,6169,27207,84,45,4,0,0.577,CAUTION,CONSOMMATION,0
SERVICES,Marrakech-Safi,69,FONCTIONNAIRE,8397,1410,81225,120,45,3,5,0.15,NANTISSEMENT,CONSOMMATION,1
SERVICES,Casablanca-Settat,45,SALARIE_CDI,7668,3550,83660,36,25,1,0,0.484,HYPOTHEQUE,AUTO,0
SERVICES,Rabat-Salé-Kénitra,62,FONCTIONNAIRE,14927,7162,40571,36,44,5,0,0.472,NANTISSEMENT,AUTO,0
TECH,Marrakech-Safi,42,INDEPENDANT,9265,5166,13016,84,15,0,1,0.619,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Dakhla-Oued Ed-Dahab,34,SALARIE_CDI,6313,1272,32366,12,10,1,2,0.233,AUCUNE,CONSOMMATION,1
COMMERCE,Marrakech-Safi,60,INDEPENDANT,8658,5236,34700,48,40,1,2,0.589,NANTISSEMENT,PROFESSIONNEL,1
TECH,Rabat-Salé-Kénitra,47,SALARIE_CDI,20361,13171,26472,120,20,4,0,0.669,AUCUNE,PROFESSIONNEL,1
INDUSTRIE,Laâyoune-Sakia El Hamra,32,INDEPENDANT,10721,5211,18245,60,7,2,1,0.481,AUCUNE,PROFESSIONNEL,1
COMMERCE,Laâyoune-Sakia El Hamra,59,RETRAITE,6799,2481,12235,24,34,2,0,0.335,AUCUNE,IMMOBILIER,1
SERVICES,Marrakech-Safi,38,FONCTIONNAIRE,7943,3713,101702,36,15,0,1,0.47,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Béni Mellal-Khénifra,55,RETRAITE,9982,1770,61030,120,34,5,0,0.198,AUCUNE,CONSOMMATION,1
COMMERCE,Oriental,40,INDEPENDANT,6704,3530,37202,48,13,2,0,0.577,HYPOTHEQUE,AUTO,0
COMMERCE,Oriental,73,SALARIE_CDI,6443,1192,23044,84,45,0,0,0.295,HYPOTHEQUE,PROFESSIONNEL,0
COMMERCE,Fès-Meknès,71,SALARIE_CDI,8062,2510,46727,84,45,1,0,0.375,CAUTION,CONSOMMATION,1
TECH,Guelmim-Oued Noun,47,SALARIE_CDI,16052,3527,41894,84,27,4,1,0.17,NANTISSEMENT,CONSOMMATION,0
COMMERCE,Laâyoune-Sakia El Hamra,62,SALARIE_CDD,11567,5934,27425,60,37,0,0,0.433,CAUTION,IMMOBILIER,0
COMMERCE,Drâa-Tafilalet,29,FONCTIONNAIRE,6739,3014,47705,12,3,4,3,0.512,AUCUNE,AUTO,1
COMMERCE,Laâyoune-Sakia El Hamra,80,SALARIE_CDD,11981,5986,51983,36,45,2,0,0.493,AUCUNE,IMMOBILIER,0
INDUSTRIE,Rabat-Salé-Kénitra,31,FONCTIONNAIRE,8134,1483,58756,12,11,3,0,0.147,CAUTION,PROFESSIONNEL,0
SERVICES,Béni Mellal-Khénifra,72,SALARIE_CDD,9462,3172,19503,48,45,4,3,0.417,HYPOTHEQUE,IMMOBILIER,1
INDUSTRIE,Dakhla-Oued Ed-Dahab,71,SALARIE_CDI,9083,3207,49113,24,45,1,0,0.344,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Oriental,29,SALARIE_CDI,3135,1415,82810,60,2,3,0,0.446,AUCUNE,PROFESSIONNEL,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,18,RETRAITE,2500,503,44688,36,0,0,0,0.169,HYPOTHEQUE,AUTO,0
TECH,Tanger-Tétouan-Al Hoceïma,64,SALARIE_CDI,8973,4250,170373,120,43,3,0,0.372,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Laâyoune-Sakia El Hamra,72,SALARIE_CDI,5520,1917,32007,84,45,4,0,0.301,CAUTION,AUTO,1
SERVICES,Dakhla-Oued Ed-Dahab,63,SALARIE_CDI,3875,2336,10912,24,37,0,2,0.571,CAUTION,CONSOMMATION,0
INDUSTRIE,Béni Mellal-Khénifra,21,RETRAITE,5598,2099,20046,36,1,0,0,0.293,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Drâa-Tafilalet,58,SALARIE_CDI,12284,2470,22731,36,33,0,0,0.205,AUCUNE,CONSOMMATION,0
COMMERCE,Oriental,42,FONCTIONNAIRE,9519,1920,53691,12,15,5,1,0.215,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Fès-Meknès,75,SALARIE_CDI,11468,3178,65009,84,45,5,4,0.323,CAUTION,PROFESSIONNEL,0
TECH,Oriental,68,SALARIE_CDI,9936,2682,39946,12,45,3,2,0.232,NANTISSEMENT,CONSOMMATION,0
COMMERCE,Dakhla-Oued Ed-Dahab,68,INDEPENDANT,5359,2939,44570,84,42,3,0,0.455,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Casablanca-Settat,43,FONCTIONNAIRE,11492,5875,138767,48,17,2,3,0.495,CAUTION,PROFESSIONNEL,1
TECH,Marrakech-Safi,38,FONCTIONNAIRE,10547,1986,20297,48,12,3,0,0.126,CAUTION,PROFESSIONNEL,0
SERVICES,Souss-Massa,69,SALARIE_CDI,7686,4425,34509,12,45,1,0,0.574,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Tanger-Tétouan-Al Hoceïma,25,RETRAITE,8321,1648,26458,60,5,2,0,0.241,AUCUNE,IMMOBILIER,0
SERVICES,Béni Mellal-Khénifra,24,FONCTIONNAIRE,11575,6283,15967,84,6,0,2,0.516,CAUTION,CONSOMMATION,1
TECH,Tanger-Tétouan-Al Hoceïma,21,RETRAITE,5783,1190,8800,36,0,3,0,0.202,AUCUNE,CONSOMMATION,1
COMMERCE,Béni Mellal-Khénifra,50,SALARIE_CDI,13221,4471,89999,24,24,5,1,0.236,CAUTION,IMMOBILIER,0
SERVICES,Rabat-Salé-Kénitra,22,SALARIE_CDD,10449,5491,21270,120,0,4,0,0.506,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Fès-Meknès,54,SALARIE_CDI,8111,2245,30477,48,32,3,0,0.357,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Drâa-Tafilalet,28,INDEPENDANT,16140,3336,49090,60,10,1,4,0.235,HYPOTHEQUE,IMMOBILIER,1
COMMERCE,Souss-Massa,74,INDEPENDANT,4526,2460,15788,84,45,4,0,0.504,HYPOTHEQUE,PROFESSIONNEL,1
INDUSTRIE,Drâa-Tafilalet,45,SALARIE_CDD,6587,3264,20250,60,19,5,1,0.439,CAUTION,CONSOMMATION,1
INDUSTRIE,Béni Mellal-Khénifra,23,SALARIE_CDI,5961,3551,35767,48,2,5,0,0.594,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Fès-Meknès,61,SALARIE_CDI,9520,4482,26721,60,36,5,0,0.496,CAUTION,PROFESSIONNEL,1
COMMERCE,Souss-Massa,39,SALARIE_CDI,13795,2579,14867,120,18,1,0,0.149,AUCUNE,CONSOMMATION,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,34,INDEPENDANT,5206,2443,55550,60,8,1,1,0.46,CAUTION,CONSOMMATION,0
SERVICES,Dakhla-Oued Ed-Dahab,59,SALARIE_CDI,35863,20128,26240,84,36,0,0,0.465,CAUTION,PROFESSIONNEL,0
SERVICES,Casablanca-Settat,78,SALARIE_CDI,6013,1154,39964,24,45,5,1,0.233,NANTISSEMENT,CONSOMMATION,1
AGRICULTURE,Drâa-Tafilalet,79,SALARIE_CDD,9531,2076,37792,24,45,2,0,0.175,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Souss-Massa,45,SALARIE_CDI,8113,3966,71591,12,21,3,0,0.521,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Casablanca-Settat,71,RETRAITE,8273,4514,46497,12,45,2,1,0.563,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Béni Mellal-Khénifra,31,SALARIE_CDI,5673,1853,19854,48,9,4,0,0.35,AUCUNE,AUTO,0
AGRICULTURE,Casablanca-Settat,71,RETRAITE,13100,6781,81924,120,45,0,3,0.505,CAUTION,IMMOBILIER,0
TECH,Fès-Meknès,77,FONCTIONNAIRE,5518,1289,26074,12,45,1,1,0.316,AUCUNE,PROFESSIONNEL,1
TECH,Drâa-Tafilalet,50,FONCTIONNAIRE,3655,1360,20543,60,30,2,0,0.34,AUCUNE,IMMOBILIER,0
INDUSTRIE,Guelmim-Oued Noun,50,SALARIE_CDD,4891,2563,18520,84,27,0,0,0.607,CAUTION,PROFESSIONNEL,0
SERVICES,Tanger-Tétouan-Al Hoceïma,53,FONCTIONNAIRE,15528,3874,7041,120,33,3,1,0.262,AUCUNE,CONSOMMATION,0
SERVICES,Guelmim-Oued Noun,22,FONCTIONNAIRE,14224,4615,23720,84,0,4,0,0.331,CAUTION,CONSOMMATION,0
AGRICULTURE,Laâyoune-Sakia El Hamra,72,SALARIE_CDI,3284,1526,47938,12,45,0,0,0.453,CAUTION,CONSOMMATION,0
INDUSTRIE,Souss-Massa,64,INDEPENDANT,11686,3775,13998,24,44,4,1,0.329,AUCUNE,CONSOMMATION,1
SERVICES,Marrakech-Safi,72,SALARIE_CDD,3321,1950,120093,120,45,4,1,0.588,AUCUNE,IMMOBILIER,1
INDUSTRIE,Béni Mellal-Khénifra,25,SALARIE_CDD,8004,5029,7567,12,5,0,0,0.715,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Casablanca-Settat,68,SALARIE_CDD,4706,2217,20989,120,45,2,1,0.41,AUCUNE,IMMOBILIER,0
SERVICES,Laâyoune-Sakia El Hamra,40,FONCTIONNAIRE,12099,6548,12819,120,13,4,0,0.531,HYPOTHEQUE,CONSOMMATION,0
TECH,Tanger-Tétouan-Al Hoceïma,69,SALARIE_CDD,10400,6275,69054,24,45,3,1,0.556,CAUTION,CONSOMMATION,0
TECH,Guelmim-Oued Noun,80,SALARIE_CDD,12592,6308,57340,84,45,0,0,0.472,HYPOTHEQUE,IMMOBILIER,0
TECH,Drâa-Tafilalet,73,SALARIE_CDI,7095,3808,30145,12,45,3,1,0.538,AUCUNE,AUTO,1
INDUSTRIE,Souss-Massa,75,SALARIE_CDD,7435,1413,13423,12,45,1,0,0.265,HYPOTHEQUE,PROFESSIONNEL,0
COMMERCE,Dakhla-Oued Ed-Dahab,25,SALARIE_CDI,4127,2319,15695,36,6,2,0,0.586,AUCUNE,CONSOMMATION,1
COMMERCE,Guelmim-Oued Noun,38,INDEPENDANT,5096,1464,43260,24,15,0,0,0.239,AUCUNE,AUTO,1
COMMERCE,Laâyoune-Sakia El Hamra,36,SALARIE_CDI,12417,2302,22623,48,14,4,2,0.171,NANTISSEMENT,CONSOMMATION,0
SERVICES,Rabat-Salé-Kénitra,50,RETRAITE,9559,4251,24503,24,31,1,3,0.502,CAUTION,CONSOMMATION,1
INDUSTRIE,Souss-Massa,79,FONCTIONNAIRE,8493,2237,34488,24,45,3,0,0.234,CAUTION,CONSOMMATION,0
SERVICES,Dakhla-Oued Ed-Dahab,61,INDEPENDANT,14299,2716,27206,36,34,2,1,0.197,CAUTION,CONSOMMATION,0
COMMERCE,Guelmim-Oued Noun,52,RETRAITE,4514,2053,10671,12,26,0,2,0.475,CAUTION,PROFESSIONNEL,1
INDUSTRIE,Souss-Massa,68,SALARIE_CDI,11204,2233,14305,60,42,0,0,0.188,CAUTION,PROFESSIONNEL,0
SERVICES,Casablanca-Settat,29,FONCTIONNAIRE,4767,2830,14550,120,6,0,0,0.548,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Fès-Meknès,59,SALARIE_CDI,15757,10000,21823,36,39,0,0,0.647,AUCUNE,IMMOBILIER,0
COMMERCE,Oriental,49,SALARIE_CDI,10353,5374,38680,24,26,0,0,0.634,AUCUNE,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,30,SALARIE_CDD,12507,3675,37580,120,11,0,0,0.271,AUCUNE,CONSOMMATION,0
AGRICULTURE,Dakhla-Oued Ed-Dahab,58,FONCTIONNAIRE,5909,2548,83334,120,37,5,3,0.404,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Rabat-Salé-Kénitra,70,INDEPENDANT,21632,3584,13563,48,45,5,1,0.203,AUCUNE,CONSOMMATION,0
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,70,SALARIE_CDI,19917,9176,45003,24,45,2,1,0.58,HYPOTHEQUE,IMMOBILIER,1
COMMERCE,Fès-Meknès,71,INDEPENDANT,9835,2773,20939,84,45,0,1,0.239,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,69,SALARIE_CDI,13751,5191,144764,84,44,3,0,0.318,CAUTION,CONSOMMATION,0
AGRICULTURE,Rabat-Salé-Kénitra,47,SALARIE_CDI,7074,1694,33721,12,23,4,2,0.279,HYPOTHEQUE,IMMOBILIER,1
COMMERCE,Marrakech-Safi,21,SALARIE_CDI,4579,2946,24511,24,0,3,1,0.684,CAUTION,IMMOBILIER,1
TECH,Fès-Meknès,78,FONCTIONNAIRE,11592,2941,44003,120,45,2,0,0.205,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Rabat-Salé-Kénitra,46,SALARIE_CDD,5358,1921,41687,12,20,2,0,0.344,NANTISSEMENT,CONSOMMATION,1
COMMERCE,Béni Mellal-Khénifra,57,SALARIE_CDI,14612,4052,27835,24,38,0,0,0.219,CAUTION,PROFESSIONNEL,0
COMMERCE,Oriental,19,SALARIE_CDI,12985,5464,55037,84,0,2,2,0.402,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Oriental,73,FONCTIONNAIRE,9008,5429,104534,84,45,0,1,0.588,AUCUNE,CONSOMMATION,0
COMMERCE,Laâyoune-Sakia El Hamra,73,INDEPENDANT,8784,2035,69059,24,45,2,0,0.279,CAUTION,IMMOBILIER,0
COMMERCE,Souss-Massa,76,SALARIE_CDI,12647,2787,32721,120,45,0,0,0.282,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Fès-Meknès,28,INDEPENDANT,9169,1715,125953,36,1,1,2,0.182,AUCUNE,IMMOBILIER,1
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,71,FONCTIONNAIRE,6755,3004,50893,24,45,1,0,0.52,CAUTION,AUTO,0
COMMERCE,Guelmim-Oued Noun,57,SALARIE_CDD,4099,1849,16841,36,31,1,2,0.499,HYPOTHEQUE,AUTO,1
INDUSTRIE,Oriental,27,SALARIE_CDI,12475,6995,37739,60,5,0,1,0.495,CAUTION,AUTO,1
SERVICES,Marrakech-Safi,53,RETRAITE,9556,5428,31203,60,32,3,3,0.625,AUCUNE,CONSOMMATION,1
TECH,Drâa-Tafilalet,48,SALARIE_CDD,28002,5628,24860,24,27,1,0,0.241,HYPOTHEQUE,PROFESSIONNEL,1
AGRICULTURE,Drâa-Tafilalet,57,SALARIE_CDD,7761,4697,45255,60,32,4,1,0.701,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Marrakech-Safi,23,INDEPENDANT,9283,5242,9747,12,0,3,2,0.578,CAUTION,CONSOMMATION,1
COMMERCE,Oriental,53,INDEPENDANT,9381,4443,111545,12,26,1,0,0.562,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Oriental,60,INDEPENDANT,10860,3514,55735,24,42,1,1,0.237,AUCUNE,PROFESSIONNEL,0
COMMERCE,Marrakech-Safi,63,INDEPENDANT,5244,2742,10007,120,40,0,0,0.501,CAUTION,IMMOBILIER,0
INDUSTRIE,Casablanca-Settat,66,SALARIE_CDI,7826,3603,55274,60,45,5,1,0.361,NANTISSEMENT,PROFESSIONNEL,0
COMMERCE,Drâa-Tafilalet,57,INDEPENDANT,11760,3840,49528,12,30,4,1,0.311,HYPOTHEQUE,PROFESSIONNEL,1
TECH,Béni Mellal-Khénifra,62,SALARIE_CDI,6976,1093,101287,12,42,3,3,0.165,CAUTION,IMMOBILIER,0
TECH,Drâa-Tafilalet,23,INDEPENDANT,11563,5160,121398,84,5,0,4,0.445,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Tanger-Tétouan-Al Hoceïma,68,SALARIE_CDD,8464,3709,136595,48,45,3,5,0.485,CAUTION,PROFESSIONNEL,1
AGRICULTURE,Oriental,41,SALARIE_CDI,9709,2207,29898,84,14,3,1,0.351,AUCUNE,CONSOMMATION,0
SERVICES,Dakhla-Oued Ed-Dahab,52,SALARIE_CDD,13603,8205,53028,36,29,5,1,0.585,AUCUNE,PROFESSIONNEL,1
SERVICES,Marrakech-Safi,52,INDEPENDANT,7315,1680,25945,36,28,2,1,0.293,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Béni Mellal-Khénifra,79,FONCTIONNAIRE,4216,1238,72034,24,45,0,1,0.329,HYPOTHEQUE,PROFESSIONNEL,0
INDUSTRIE,Rabat-Salé-Kénitra,38,INDEPENDANT,7188,2415,7998,60,19,4,2,0.355,AUCUNE,CONSOMMATION,1
TECH,Casablanca-Settat,42,SALARIE_CDI,5589,2747,14872,60,15,2,0,0.534,AUCUNE,AUTO,0
TECH,Dakhla-Oued Ed-Dahab,65,SALARIE_CDI,3113,594,26804,48,45,4,1,0.174,CAUTION,AUTO,0
INDUSTRIE,Rabat-Salé-Kénitra,57,FONCTIONNAIRE,7723,3871,34817,120,36,5,0,0.554,AUCUNE,CONSOMMATION,0
AGRICULTURE,Béni Mellal-Khénifra,38,SALARIE_CDD,8862,3166,40718,60,13,5,0,0.285,AUCUNE,IMMOBILIER,0
INDUSTRIE,Oriental,39,FONCTIONNAIRE,12827,3097,88614,120,12,3,2,0.249,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Guelmim-Oued Noun,70,RETRAITE,4853,1000,23039,84,45,1,1,0.191,AUCUNE,AUTO,0
SERVICES,Oriental,70,FONCTIONNAIRE,8432,3003,14698,12,43,3,0,0.481,AUCUNE,AUTO,0
AGRICULTURE,Drâa-Tafilalet,27,SALARIE_CDD,13462,5021,27687,48,9,0,0,0.319,CAUTION,IMMOBILIER,0
SERVICES,Laâyoune-Sakia El Hamra,43,FONCTIONNAIRE,6257,1368,23760,120,20,3,0,0.243,AUCUNE,CONSOMMATION,0
SERVICES,Guelmim-Oued Noun,66,INDEPENDANT,10314,4035,53490,84,45,3,1,0.454,HYPOTHEQUE,IMMOBILIER,0
INDUSTRIE,Drâa-Tafilalet,25,FONCTIONNAIRE,16630,6672,105609,12,0,5,0,0.373,AUCUNE,PROFESSIONNEL,0
AGRICULTURE,Rabat-Salé-Kénitra,29,INDEPENDANT,3505,2245,99162,24,10,2,1,0.642,NANTISSEMENT,AUTO,0
AGRICULTURE,Marrakech-Safi,27,SALARIE_CDI,9161,4641,77856,12,4,4,0,0.481,AUCUNE,IMMOBILIER,0
TECH,Souss-Massa,51,INDEPENDANT,13675,2134,24375,60,32,2,1,0.134,HYPOTHEQUE,IMMOBILIER,0
AGRICULTURE,Béni Mellal-Khénifra,46,SALARIE_CDI,6920,2688,32428,48,27,3,0,0.473,CAUTION,IMMOBILIER,0
AGRICULTURE,Drâa-Tafilalet,38,INDEPENDANT,15124,2432,48885,36,15,5,0,0.067,NANTISSEMENT,CONSOMMATION,0
COMMERCE,Guelmim-Oued Noun,26,INDEPENDANT,10779,4372,21175,120,6,2,0,0.42,AUCUNE,CONSOMMATION,0
INDUSTRIE,Rabat-Salé-Kénitra,58,INDEPENDANT,17966,5731,22602,120,35,2,1,0.215,CAUTION,PROFESSIONNEL,1
TECH,Marrakech-Safi,68,SALARIE_CDI,10531,6337,47199,12,45,2,3,0.65,AUCUNE,IMMOBILIER,1
COMMERCE,Rabat-Salé-Kénitra,31,INDEPENDANT,18651,7398,13973,84,9,3,1,0.378,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Oriental,59,SALARIE_CDI,9274,5332,78028,120,39,0,2,0.489,AUCUNE,PROFESSIONNEL,1
SERVICES,Béni Mellal-Khénifra,68,SALARIE_CDD,4379,1935,27417,12,43,0,2,0.435,AUCUNE,CONSOMMATION,0
TECH,Rabat-Salé-Kénitra,53,FONCTIONNAIRE,6100,2124,53018,120,26,3,0,0.288,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Laâyoune-Sakia El Hamra,54,SALARIE_CDD,12814,3394,41973,84,36,4,0,0.315,AUCUNE,AUTO,0
AGRICULTURE,Fès-Meknès,28,SALARIE_CDI,12701,3068,87372,24,6,0,1,0.294,AUCUNE,PROFESSIONNEL,0
SERVICES,Béni Mellal-Khénifra,78,FONCTIONNAIRE,7046,3856,8187,60,45,2,0,0.49,AUCUNE,PROFESSIONNEL,0
